source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
blogs.agu,http://blogs.agu.org/landslideblog/2011/10/26/floods-and-landslides-in-italy-yesterday/,4028,10/25/2011 12:00:00 AM,,"A12 motorway between Brugnato and Carrodano, La Spezia","Italy suffered very heavy rainfall yesterday, triggering landslides and floods.  One landslide hit a truck in La Spezia. Yesterday, the La Spezia and Tuscany areas of Italy suffered very heavy rainfall, triggering widespread floods and landslides.  La Repubblica has some interesting video footage of the outcome – unfortunately so far the toll is reported to be five fatalities with a further eight people missing.  The weather forecast for today is very poor once again, such that there are severe weather warnings for a large area.  Italy is of course very prone to floods, mudslides and large landslides, as covered in previous posts here.Some landslides have occurred – particularly notable is one that occurred on the A12 motorway between Brugnato and Carrodano, in the province of La Spezia,  Reported rainfall in this area has exceeded 400 mm, inducing a landslide that struck a an articulated truck (images from La Repubblica):","A12 motorway between Brugnato and Carrodano, La Spezia",5km,landslide,downpour,medium,unknown,0,,,,,glc,4028,Italy,IT,Liguria,545,Carrodano,2.59113,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,9.6882,44.2408
Connexion,http://www.connexionfrance.com/Storm-torrential-airport-motorway-Promenade-mudslide-death-16323-view-article.html,6353,11/05/2014 12:00:00 AM,,A8 France-Italy motorway in Nice,The A8 France-Italy motorway was closed by a mudslide in Nice,A8 France-Italy motorway in Nice,10km,mudslide,downpour,medium,above_road,0,0,,,,glc,6353,France,FR,Provence-Alpes-Côte d'Azur,3185,Colomars,3.10932,11/06/2014 06:51:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,7.2325,43.7276
agi,http://www.agi.it/english-version/italy/elenco-notizie/201103050939-cro-ren1016-weather_woes_more_landslides_in_messina_region_roads_shut,3172,03/04/2011 12:00:00 AM,,"State Road 185, between Fondaco Motta and Gaggi, Messina","The Province of Messina continues to tumble: a landslide swept across the ""Sella Mandrazzi"" State Road 185.  The road was closed in both directions. The landslide occurred at km 56.500, between Fondaco Motta (km 53.2) and Gaggi (km 61.4), in the Province of Messina. ANAS emergency squads came into action on the landslide location, tracing possible detours. . .","State Road 185, between Fondaco Motta and Gaggi, Messina",5km,landslide,downpour,medium,unknown,0,,,,,glc,3172,Italy,IT,Sicily,587,Motta Camastra,2.86595,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,15.1933,37.8762
Today's Zaman,http://www.todayszaman.com/world_two-dead-one-missing-as-heavy-rains-batter-northern-italy_364529.html,6383,11/15/2014 11:00:00 PM,,Cerro di Laveno,"Authorities said a 70-year old man and a 16-year-old girl died when their house in Cerro di Laveno, near the border with Switzerland collapsed in a landslide late on Saturday night.",Cerro di Laveno,unknown,landslide,downpour,medium,unknown,2,0,,,,glc,6383,Italy,IT,Lombardy,8130,Laveno,0.53139,11/25/2014 08:03:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,8.5968,45.9
news.xinhuanet,http://news.xinhuanet.com/english2010/world/2010-05/17/c_13297999.htm,1863,05/15/2010 11:00:00 PM,,"Vado di Monzuno, near Bologna, Emilia-Romagana region, Apennine Mts.","A landslide hit the Apennine Mountains in central Italy on Saturday night, causing the destruction of an entire building and the evacuation of 60 people, media reports said on Sunday.  Only five families were able to return to their homes on Sunday after their houses were deemed safe, while the Civil Protection will continue monitoring the situation and assessing the actual damage to other nearby buildings, according to state television Rai.  The landslide, caused by the weekend's heavy rainfall, occurred in the town of Vado di Monzuno, near Bologna in the Emilia-Romagna region.  However, in previous weeks the land had already started to slip because of the persisting rain and many residents were transferred elsewhere as precaution measures.","Vado di Monzuno, near Bologna, Emilia-Romagana region, Apennine Mts.",5km,landslide,downpour,medium,unknown,0,,,,,glc,1863,Italy,IT,Emilia-Romagna,2001,Vado,0.26501,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,11.2603,44.3189
AGU Blogosphere,http://blogs.agu.org/landslideblog/2015/08/29/tour-ronde-1/,7915,08/27/2015 08:30:00 AM,,La Tour Ronde,"The Tour Ronde is a massif the Mont Blanc region of the Alps, on the border between France and Italy.  On Thursday the southeast face of this mountain suffered a significant landslide.  Planet Mountain has a nice piece providing an account of the landslide:  Gianluca Marra, a Mountain Guide from Courmayeur … told planetmountain.com that “a first rockfall took place at around 8:30, a second one just over an hour later” adding that “the rockfall occurred on a section of the SE Face, on the spur a bit to the right of the Normal Route up Tour Ronde.”",La Tour Ronde,25km,rock_fall,snowfall_snowmelt,medium,natural_slope,0,0,,http://blogs.agu.org/landslideblog/files/2015/08/15_08-Tour-Ronde-2-e1440779987195.jpg,,glc,7915,France,FR,Auvergne-Rhône-Alpes,2985,Les Houches,4.24041,06/29/2016 06:19:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,6.8171,45.8549
greenfudge,http://www.greenfudge.org/2011/11/23/tragedy-in-sicily-avalanche-of-water-and-mud-swept-away-homes/,4053,11/22/2011 12:00:00 AM,,"Catanzaro,Calabria, Sicily","An avalanche of water and mud swept away homes during the middle of the night in Barcellona Pozzo di Gotto, a small town near Messina in Sicily, causing several fatalities.Torrential rains poured over Italy for hours, causing a mudslide that killed four people, including an unidentified 10 year old boy. The landslide destroyed a large number of houses and many people have been reported missing.Search and rescue continues and the exact number of injuries and fatalities is unknown.A second landslide was also the cause of a train derailment in Calabria, Catanzaro. Fortunately no one was killed but about 50 families have been cut off from the world.","Catanzaro,Calabria, Sicily",5km,landslide,downpour,medium,unknown,0,,,,,glc,4053,Italy,IT,Calabria,2666,Siano,1.38974,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,16.5877,38.9102
road.cc,http://road.cc/content/news/113316-landslide-may-force-fresh-milan-san-remo-route-change-le-manie-climb-reinstated#http://road.cc/content/news/113316-landslide-may-force-fresh-milan-san-remo-route-change-le-manie-climb-reinstated,5942,03/09/2014 12:00:00 AM,,"Via Aurelia, 27 17028 Spotorno SV","But a landslide yesterday on the Via Aurelia, the road along the Ligurian coast that forms the final third of the route, has led to the prospect that the parcours may have to be changed again.","Via Aurelia, 27 17028 Spotorno SV",5km,landslide,continuous_rain,medium,urban,0,0,,,,glc,5942,Italy,IT,Liguria,3841,Spotorno,0.17703,01/11/2016 04:41:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,8.4163,44.2136
ANSA en General News,http://www.ansa.it/english/news/general_news/2015/11/27/rockslide-crushes-woman-to-death_c0ab913f-2a1d-40f9-a68c-7b731c5e1ffd.html,8973,11/27/2015 12:00:00 AM,,Molise,"Palermo, November 27 - An 88-year-old woman was crushed to death by a boulder that smashed into her home Friday when heavy rains lashing southern Italy set off a landslide in the Sicilian capital, police said.     Ornella Paltrinieri was killed instantly in her first floor apartment in the Mondello seaside suburb of Palermo while her 19-year-old grandaughter Maria sleeping in the same room was injured and rushed to hospital and her 52-year-old daughter Donatella escaped with slight injuries.",Molise,25km,rock_fall,rain,small,natural_slope,1,1,,http://www.ansa.it/webimages/img_457x/2015/11/27/fa1ec257780a7d71196a1d81d3e2ab1f.jpg,,glc,8973,Italy,IT,Molise,669,Limosano,3.41218,07/15/2016 12:26:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,14.5982,41.6507
theprovince,http://www.theprovince.com/life/Watering+down+Colombia+coffee+crops/4737599/story.html,3367,04/16/2011 12:00:00 AM,,Tena municipality,"The rainiest April on record drenched Ismael Garcia's hillside coffee farm, causing a landslide that wiped out thousands of his trees in one swoop.  The loss would sting any year, but hurts more now that prices hit their highest levels in more than three decades this week.  Damage to farms like Garcia's from months of heavy rains in Colombia, the world's No. 1 producer of top-quality washed arabica beans, may threaten to push coffee prices even higher.  Colombia harvests coffee yearround and landslides blocking roads are complicating exports of already-picked beans, while downpours expected to continue for at least another month could knock ripe coffee cherries off trees and rot them in the fields.  Garcia estimates he lost 40 per cent of his crop, which he sells to gourmet roasters such as Italy's premium coffee brand Illycaffe.  ""It sounded like the world was ending,"" Garcia, 54, said of the mountainside collapse near his cinder block house in the lush municipality called Tena, sev",Tena municipality,10km,landslide,downpour,medium,unknown,0,,,,,glc,3367,Colombia,CO,Cundinamarca,1577,San Antonio del Tequendama,6.08628,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-74.399,4.6502
